Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,0.013501,0.013689,0.013500,0.013501,0.013501,0
2018-11-02,0.013684,0.013806,0.013661,0.013641,0.013641,0
2018-11-05,0.013716,0.013806,0.013637,0.013716,0.013716,0
2018-11-06,0.013725,0.013740,0.013676,0.013725,0.013725,0
2018-11-07,0.013656,0.013850,0.013656,0.013656,0.013656,0
2018-11-08,0.013816,0.013870,0.013776,0.013816,0.013816,0
2018-11-09,0.013818,0.013818,0.013717,0.013717,0.013717,0
2018-11-12,0.013799,0.013799,0.013684,0.013799,0.013799,0
2018-11-13,0.013727,0.013831,0.013708,0.013665,0.013665,0
2018-11-14,0.013773,0.013895,0.013773,0.013784,0.013784,0
2018-11-15,0.013831,0.013922,0.013831,0.013812,0.013812,0
2018-11-16,0.013910,0.013943,0.013864,0.013910,0.013910,0
2018-11-19,0.013932,0.014023,0.013868,0.013932,0.013932,0
2018-11-20,0.013967,0.014031,0.013963,0.013949,0.013949,0
2018-11-21,0.014003,0.014077,0.014001,0.014003,0.014003,0
2018-11-22,0.014026,0.014162,0.014026,0.014026,0.014026,0
2018-11-23,0.014117,0.014217,0.014114,0.014117,0.014117,0
2018-11-26,0.014150,0.014229,0.014110,0.014150,0.014150,0
2018-11-27,0.014122,0.014141,0.014087,0.014122,0.014122,0
2018-11-28,0.014108,0.014182,0.014077,0.014108,0.014108,0
2018-11-29,0.014158,0.014343,0.014158,0.014164,0.014164,0
2018-11-30,0.014333,0.014372,0.014312,0.014302,0.014302,0
2018-12-03,0.014335,0.014335,0.014186,0.014335,0.014335,0
2018-12-04,0.014187,0.014218,0.014148,0.014187,0.014187,0
2018-12-05,0.014158,0.014217,0.014142,0.014158,0.014158,0
2018-12-06,0.014110,0.014174,0.014057,0.014110,0.014110,0
2018-12-07,0.014131,0.014198,0.014021,0.014134,0.014134,0
2018-12-10,0.014012,0.014114,0.013755,0.014012,0.014012,0
2018-12-11,0.013795,0.013949,0.013794,0.013749,0.013749,0
2018-12-12,0.013833,0.013934,0.013824,0.013770,0.013770,0
2018-12-13,0.013922,0.014000,0.013922,0.013860,0.013860,0
2018-12-14,0.013982,0.013982,0.013856,0.013977,0.013977,0
2018-12-17,0.013906,0.013986,0.013906,0.013906,0.013906,0
2018-12-18,0.013968,0.014198,0.013963,0.013968,0.013968,0
