Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,0.143375,0.144459,0.143373,0.143375,0.143375,0
2018-11-02,0.144459,0.145611,0.144279,0.144459,0.144459,0
2018-11-05,0.145140,0.145144,0.144313,0.145140,0.145140,0
2018-11-06,0.144409,0.144839,0.144354,0.144409,0.144409,0
2018-11-07,0.144540,0.144829,0.144092,0.144540,0.144540,0
2018-11-08,0.144718,0.144718,0.144175,0.144718,0.144718,0
2018-11-09,0.144234,0.144238,0.143761,0.144227,0.144227,0
2018-11-12,0.143763,0.143951,0.143513,0.143763,0.143763,0
2018-11-13,0.143627,0.144015,0.143497,0.143627,0.143627,0
2018-11-14,0.143777,0.144082,0.143771,0.143777,0.143777,0
2018-11-15,0.143895,0.144321,0.143893,0.143895,0.143895,0
2018-11-16,0.144134,0.144304,0.143864,0.144130,0.144130,0
2018-11-19,0.144155,0.144342,0.144009,0.144155,0.144155,0
2018-11-20,0.144071,0.144356,0.143972,0.144071,0.144071,0
2018-11-21,0.144001,0.144488,0.143918,0.144001,0.144001,0
2018-11-22,0.144377,0.144571,0.144155,0.144379,0.144379,0
2018-11-23,0.144275,0.144467,0.143920,0.144279,0.144279,0
2018-11-26,0.143937,0.144375,0.143937,0.143937,0.143937,0
2018-11-27,0.144283,0.144283,0.143833,0.144283,0.144283,0
2018-11-28,0.143875,0.144036,0.143757,0.143872,0.143872,0
2018-11-29,0.143825,0.144361,0.143825,0.143825,0.143825,0
2018-11-30,0.144059,0.144248,0.143701,0.144061,0.144061,0
2018-12-03,0.143719,0.145433,0.143688,0.143719,0.143719,0
2018-12-04,0.145304,0.146589,0.145300,0.145300,0.145300,0
2018-12-05,0.146278,0.146295,0.145596,0.146278,0.146278,0
2018-12-06,0.145862,0.145864,0.144997,0.145862,0.145862,0
2018-12-07,0.145313,0.145669,0.145167,0.145313,0.145313,0
2018-12-10,0.145461,0.145652,0.144649,0.145461,0.145461,0
2018-12-11,0.144699,0.145134,0.144638,0.144697,0.144697,0
2018-12-12,0.144949,0.145579,0.144949,0.144949,0.144949,0
2018-12-13,0.145370,0.145717,0.145288,0.145370,0.145370,0
2018-12-14,0.145334,0.145336,0.144789,0.145334,0.145334,0
2018-12-17,0.144789,0.145231,0.144787,0.144789,0.144789,0
2018-12-18,0.145007,0.145307,0.144936,0.145007,0.145007,0
2018-12-19,0.145049,0.145220,0.144970,0.145049,0.145049,0
2018-12-20,0.145121,0.145452,0.144697,0.145117,0.145117,0
2018-12-21,0.145262,0.145395,0.144808,0.145262,0.145262,0
2018-12-24,0.144814,0.145182,0.144699,0.144814,0.144814,0
2018-12-25,0.144967,0.145442,0.144963,0.144967,0.144967,0
2018-12-26,0.144963,0.145326,0.144961,0.144963,0.144963,0
2018-12-27,0.144967,0.145866,0.144961,0.144967,0.144967,0
2018-12-28,0.145660,0.146103,0.145402,0.145660,0.145660,0
2018-12-31,0.145408,0.145408,0.145402,0.145408,0.145408,0
2019-01-01,0.145400,0.145497,0.145400,0.145400,0.145400,0
2019-01-02,0.145402,0.146128,0.145381,0.145402,0.145402,0
2019-01-03,0.145749,0.145749,0.145313,0.145749,0.145749,0
2019-01-04,0.145539,0.145881,0.145539,0.145537,0.145537,0
2019-01-07,0.145594,0.146207,0.145567,0.145594,0.145594,0
2019-01-08,0.145985,0.146323,0.145777,0.145985,0.145985,0
2019-01-09,0.145939,0.146705,0.145936,0.145939,0.145939,0
2019-01-10,0.146720,0.147656,0.146608,0.146722,0.146722,0
2019-01-11,0.147330,0.148560,0.147295,0.147330,0.147330,0
2019-01-14,0.147885,0.148098,0.147726,0.147885,0.147885,0
2019-01-15,0.147774,0.148443,0.147743,0.147774,0.147774,0
2019-01-16,0.148126,0.148258,0.147684,0.148126,0.148126,0
2019-01-17,0.148017,0.148445,0.147558,0.148017,0.148017,0
2019-01-18,0.147593,0.147929,0.147499,0.147593,0.147593,0
2019-01-21,0.147540,0.147540,0.147093,0.147540,0.147540,0
2019-01-22,0.147119,0.147232,0.146852,0.147117,0.147117,0
2019-01-23,0.146908,0.147595,0.146903,0.146908,0.146908,0
2019-01-24,0.147256,0.147750,0.147139,0.147254,0.147254,0
2019-01-25,0.147325,0.148223,0.147286,0.147327,0.147327,0
2019-01-28,0.148229,0.148639,0.148227,0.148227,0.148227,0
2019-01-29,0.148276,0.148725,0.148104,0.148273,0.148273,0
2019-01-30,0.148544,0.149182,0.148544,0.148544,0.148544,0
2019-01-31,0.148909,0.149548,0.148883,0.148909,0.148909,0
